712酱,1595289987,119,1,100,不要把生活过的跟草稿似的🙏🙏🙏求你了大姐🙏🙏🙏🙏🙏🙏🙏🙏🙏,最近循环的歌不是出山就是下山，莫非我潜意识告诉我应该出家?,2044865498,2,2019-12-11 00:29:05
艰苦奋斗的一匹马,545382220,16,1,430900,灿鸾mua～,人身攻击大可不必,2044882308,2,2019-12-11 00:28:35
艰苦奋斗的一匹马,545382220,16,1,430900,灿鸾mua～,过分了,2044892223,1,2019-12-11 00:28:06
BGJung,1884179242,119,1,130100,不用看这些，想知道什么直接问便好。,今年几场演唱会花粥已有所不同，以及其他种种，懂得人自然懂，有心之人也自然明白。本来实在觉得解释这种东西，解释只用眼睛便可看到的东西毫无意义，可看到这一串串评论实在可爱，真的像以前的自己。,2044889238,0,2019-12-11 00:28:02
BGJung,1884179242,119,1,130100,不用看这些，想知道什么直接问便好。,不用组团来，水平都一样。本来没兴趣再回复，可又越想越可爱，根本对你憋不出半点气，人都是有经历成长的，就像看到过去的自己。我从一开始一个字都未提花粥做什么事，也并没有颠倒是非她做过不合适的地方，你就没想想我只是希望花粥能做一个更好的自己，,2044836054,0,2019-12-11 00:25:22
你看到了一个ID_,535607424,15,1,620900,愿你遇良人，与你欢喜城，长歌暖浮生。,写一个删一个,2044821115,0,2019-12-11 00:23:24
你看到了一个ID_,535607424,15,1,620900,愿你遇良人，与你欢喜城，长歌暖浮生。,我已经什么评论都发不出来了。。。,2044858770,0,2019-12-11 00:23:01
你看到了一个ID_,535607424,15,1,620900,愿你遇良人，与你欢喜城，长歌暖浮生。,任其发展任其膨胀就是对原创者原创精神的践踏，结果就是抄袭者大行其道，将原创者赶尽杀绝。这种法律不好定界但极其明显的抄袭，还要求围观群众冷静就是为虎作伥，劝导平息风波的人不是蠢就是坏,2044834055,1,2019-12-11 00:22:14
你看到了一个ID_,535607424,15,1,620900,愿你遇良人，与你欢喜城，长歌暖浮生。,网易云大大真的秀，下一段竟然发不出来(•ิ_•ิ)呵呵,2044859748,0,2019-12-11 00:21:59
你的一个野马哥哥,391987359,119,1,100,,带头盔兄弟,2044802151,0,2019-12-11 00:21:46
你看到了一个ID_,535607424,15,1,620900,愿你遇良人，与你欢喜城，长歌暖浮生。,任其发展任其膨胀就是对原 创者原 创精神的践踏，结果就是c x者大行其道，将原 创者赶尽杀绝。这种法律不好定界但极其明显的c x，还要求围观群众冷静就是为 虎 作 伥，劝导平息风波的人不是蠢就是坏,2044851903,0,2019-12-11 00:21:11
你看到了一个ID_,535607424,15,1,620900,愿你遇良人，与你欢喜城，长歌暖浮生。,任其发展任其膨胀就是对原创者原创精神的践踏，结果就是c x者大行其道，将原 创者赶尽杀绝。这种法律不好定界但极其明显的Copy，还要求围观群众冷静就是为 虎 作 伥，劝导平息风波的人不是蠢就是坏,2044833026,0,2019-12-11 00:20:29
你看到了一个ID_,535607424,15,1,620900,愿你遇良人，与你欢喜城，长歌暖浮生。,任其发展任其膨胀就是对原创者原创精神的践踏，结果就是cx者大行其道，将原创者赶尽杀绝。这种法律不好定界但极其明显的cx，还要求围观群众冷静就是为虎作伥，劝导平息风波的人不是蠢就是坏,2044821059,0,2019-12-11 00:19:15
李富众,1290393895,13,1,429004,一位励志要超过幼稚园杀手的中学生,都有啊，你想想，她删除的话一天几千条，人都删废了，你那边应该是被系统和谐了，我这边看你的还没和谐，我遇到过这情况，过几天我也会看不到你发的，因为被系统彻底删除了,2044840936,0,2019-12-11 00:18:39
你看到了一个ID_,535607424,15,1,620900,愿你遇良人，与你欢喜城，长歌暖浮生。,看似理性客观实则充满煽动性，为什么要将某些人塑造成一个被网络暴力的受害者，喜不喜欢的确是个人的事，他人无权评价。对歌曲范围以外的人身攻击言论的确不应该出现，但对于cx范围以内的评价只是在陈述事实，根本算不上人身攻击，如果对于这种明目张胆的cx不去评论不去制止，任其发展任其膨胀就是对,2044795121,8,2019-12-11 00:14:58
你看到了一个ID_,535607424,15,1,620900,愿你遇良人，与你欢喜城，长歌暖浮生。,我发了十几条，就剩下这些了[汗],2044787154,1,2019-12-11 00:13:57
你看到了一个ID_,535607424,15,1,620900,愿你遇良人，与你欢喜城，长歌暖浮生。,看似理性客观实则充满煽动性，为什么要将花粥塑造成一个被网络暴力的受害者，喜不喜欢的确是个人的事，他人无权评价。对歌曲范围以外的人身攻击言论的确不应该出现，但对于抄袭范围以内的评价只是在陈述事实，根本算不上人身攻击，如果对于这种明目张胆的抄袭不去评论不去制止，任其发展任其膨胀就是对,2044862244,1,2019-12-11 00:13:13
李富众,1290393895,13,1,429004,一位励志要超过幼稚园杀手的中学生,没删除，我看到了(*^▽^)/★*☆,2044808961,1,2019-12-11 00:12:36
金森静奈,1606726861,119,2,440100,,抄袭就是可耻，一句话完事，你有什么好说的,2044784182,0,2019-12-11 00:10:28
你看到了一个ID_,535607424,15,1,620900,愿你遇良人，与你欢喜城，长歌暖浮生。,我什么都不想说，自己看https://www.zhihu.com/answer/604053571,2044812836,3,2019-12-11 00:07:04
楚王妃-汉河梦,333207882,20,0,230800,,没才华不叫烂，你没才华叫普通人，不叫烂人,2044784110,0,2019-12-11 00:06:42
楚王妃-汉河梦,333207882,20,0,230800,,还可以吧，和你屁眼差不多烂吧,2044827737,0,2019-12-11 00:06:02
